Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,Forest
43,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
44,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
45,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
53,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
55,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
56,NULL,NULL,Water,NULL,Water,Grassland
57,NULL,NULL,Water,NULL,Water,Bareland
58,NULL,NULL,Water,NULL,Water,Forest
59,NULL,NULL,Water,Non_Water,Water,Grassland
60,NULL,NULL,Water,Non_Water,Water,Forest
61,NULL,NULL,Water,Water,Water,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
66,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
67,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
68,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
69,NULL,NULL,Forest,NULL,Non_Wetland,Water
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest
71,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
73,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
75,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
76,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
77,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
87,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
93,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
94,NULL,Cropland,Wetland,NULL,Wetland,Grassland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
101,NULL,Cropland,Water,NULL,Water,Grassland
102,NULL,Cropland,Water,NULL,Water,Forest
103,NULL,Cropland,Water,Non_Water,Water,Forest
104,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
109,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
110,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
113,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
114,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
115,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
116,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
117,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
118,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
